_id,name,status,content.book_code,book_id
5e6f65ac2978bb02f8c930c6,ESSENTIALS OF PHYSICS 10,active,EL10P024,5e6f65ac2978bb02f8c930c6/EL10P024/10/Physics
5ebd011388089454bc1d0d4d,Grow With Numbers,active,EL01M008,5ebd011388089454bc1d0d4d/EL01M008/1/Mathematics
5ebd036388089454bc1d0f95,Chemistry,active,EL10C116,5ebd036388089454bc1d0f95/EL10C116/10/Chemistry
5ebd6d91c2ecd101167f730b,NCERT Science Grade 7,active,NC07S001,5ebd6d91c2ecd101167f730b/NC07S001/7/Science
5ebed711c2ecd10116813f36,NCERT EVS Grade 5,active,NC05S001,5ebed711c2ecd10116813f36/NC05S001/5/Environmental Studies
5eda021e44008f129d19db49,General Science for Competitive Exams,active,PPGEGS001,5eda021e44008f129d19db49/PPGEGS001/PrePG
5eda4edc44008f129d1a0862,Science Today 2,active,EL02S053,5eda4edc44008f129d1a0862/EL02S053/2/Science
5eea23f2f547650828b55535,Eduwiser's Integral Calculus - For Jee Main & Advanced,active,PUGJEE5323,5eea23f2f547650828b55535/PUGJEE5323/11/Mathematics
5ef43c44e52bc182d35ac184,EPFO SSA And Assistant Preliminary Exam Mock Test,active,PPGSSA100,"5ef43c44e52bc182d35ac184/PPGSSA100/PrePG/English, Quantitative Aptitude, Reasoning"
5ef440b7e52bc182d35ac714,SSC Multi- Tasking Staff (Non Technical) Exam,active,PPGSSC047,"5ef440b7e52bc182d35ac714/PPGSSC047/PrePG/English, Quantitative Aptitude, Reasoning, General Knowledge%2F General Awareness"
5ef443b9e52bc182d35acc5e,CAPF Assistant Commandants,active,PPGCDS102,"5ef443b9e52bc182d35acc5e/PPGCDS102/PrePG/English, Quantitative Aptitude, Reasoning, General Knowledge%2F General Awareness"
5ef46c92e52bc182d35b0180,SSC CHSL 10+2 (Mock Test),active,PPGSSC009,"5ef46c92e52bc182d35b0180/PPGSSC009/PrePG/English, Quantitative Aptitude, Reasoning, General Knowledge%2F General Awareness"
5ef786304e12dae87a5c810c,New Discovery Science,active,EL02S062,5ef786304e12dae87a5c810c/EL02S062/2/Science
5ef836b84e12dae87a5cb00b,Head Start Science 6,active,EL06S023,5ef836b84e12dae87a5cb00b/EL06S023/6/Science
5efcac8b27278334e9e73e1f,NCERT Exemplar Mathematics - Class 9,active,NC09M006,5efcac8b27278334e9e73e1f/NC09M006/9/Mathematics
5f0317dd27278334e9ecfb95,NEW MILLENIUM SCIENCE - BIOLOGY,active,EL10B005,5f0317dd27278334e9ecfb95/EL10B005/10/Biology
5f034d8527278334e9ed5d3a,SSC Multi Tasking,active,PPGSSC024,"5f034d8527278334e9ed5d3a/PPGSSC024/PrePG/Quantitative Aptitude, Reasoning, English, General Awareness"
5f04809927278334e9eee5af,Success With Science Ahead,active,EL05S013,5f04809927278334e9eee5af/EL05S013/5/Science
5f056dd927278334e9ef984b,NCERT Physics (Vol 1) Grade 11,active,NCERT11P01,5f056dd927278334e9ef984b/NCERT11P01/11/Physics
5f05add427278334e9f02ad1,SBI Clerical Cadre Junior Associates Preliminary Exam 2019,active,PPGSBI012,"5f05add427278334e9f02ad1/PPGSBI012/PrePG/Quantitative Aptitude, Reasoning, English"
5f05ce189a10ea4cb3b85e88,Science Success,active,EL06S018,5f05ce189a10ea4cb3b85e88/EL06S018/6/Science
5f0d63fc9ba1ee9b28ce1b01,Science World Book - 4,active,EL04S219,5f0d63fc9ba1ee9b28ce1b01/EL04S219/4/Science
5f0da6a39ba1ee9b28cec9b5,General Knowledge Punjab,active,PPGSSC059,5f0da6a39ba1ee9b28cec9b5/PPGSSC059/PrePG/General Knowledge%2FGeneral Awareness
5f10455e7f10acd6461bcc19,Science Horizons,active,EL07S014,5f10455e7f10acd6461bcc19/EL07S014/7/Science
5f1264ec7f10acd6461db112,"Success Master IBPS CWE- VIII, Bank Clerk Preliminary Examination",active,PPGESG011,"5f1264ec7f10acd6461db112/PPGESG011/PrePG/Quantitative Aptitude, English, Reasoning"
5f15bd317f10acd646214e19,Resonance The Living World,active,PUGNEET324,5f15bd317f10acd646214e19/PUGNEET324/PreUG/BIOLOGY
5f15cccb7f10acd646217128,New Science In Everyday Life Grade 4,active,EL04S007,5f15cccb7f10acd646217128/EL04S007/4/Science
5f170637410039bcbfd99067,New Science in Everyday Life,active,EL02S003,5f170637410039bcbfd99067/EL02S003/2/Science
5f21a1bfdf29eca07a223764,Indian Economy Economic & Social Development,active,UPSC010,5f21a1bfdf29eca07a223764/UPSC010/PrePG/General Knowledge%2FGeneral Awareness
5f240882df29eca07a25f815,Mathematics for Class 7,active,EL07M048,5f240882df29eca07a25f815/EL07M048/7/Mathematics
5f241bc8df29eca07a2644a4,Basic Science for Class 8,active,EL08S007,5f241bc8df29eca07a2644a4/EL08S007/8/Science
5f2440e5df29eca07a266e65,MATHS ACE,active,EL02M037,5f2440e5df29eca07a266e65/EL02M037/2/Mathematics
5f2b9794a6790ab416b95169,Science Spark Grade 4,active,EL04S031,5f2b9794a6790ab416b95169/EL04S031/4/Science
5f2c090623941d6a3a51ae20,Maths Speed,draft,EL01M029,5f2c090623941d6a3a51ae20/EL01M029/1/Mathematics
5f2d51d862e9210d25523fce,Environmental Studies Text Cum Work Book 3,active,KA03S050,5f2d51d862e9210d25523fce/KA03S050/3/Science
5f57131a7dcf913aa3633e43,Science (1),active,KA01S050,5f57131a7dcf913aa3633e43/KA01S050/1/Science
5f5714f3bfcf8bc172f549cf,Mathematics Text cum Workbook Third Standard Part - 1,active,KA03M003,5f5714f3bfcf8bc172f549cf/KA03M003/3/MATHEMATICS
5f61b16088127153f194850f,Learning Edge Science 4,active,EL04S021,5f61b16088127153f194850f/EL04S021/4/Science
5f61ec9c45f320c7289cb24f,Chemistry Standard 12 Vol II,active,TN12C052,5f61ec9c45f320c7289cb24f/TN12C052/12/CHEMISTRY
5ebed7d4c2ecd10116814240,Living Science Grade 1,active,EL01S020,5ebed7d4c2ecd10116814240/EL01S020/1/Science
5ed9412a44008f129d1974de,Science and Technology For UPSC and Other State Services Examinations,active,PPGN100,"5ed9412a44008f129d1974de/PPGN100/PrePG/Biology, Physics, Chemistry, Computer Knowledge"
5ed9d30844008f129d199ad7,New Pattern Data Analysis & Interpretation For SBI/IBPS Bank PO/SO/ Clerk/ RRB/ SSC Exams,active,PPGEQ002,5ed9d30844008f129d199ad7/PPGEQ002/PrePG/Quantitative Aptitude
5ed9d56744008f129d199b44,Banking Awareness Complete Book For IBPS SBI & RBI Exams,active,PPGEGA003,5ed9d56744008f129d199b44/PPGEGA003/PrePG/General Knowledge%2FGeneral Awareness
5ed9dea544008f129d19ba47,Compulsory English,active,MPSC021,"5ed9dea544008f129d19ba47/MPSC021/PrePG/Banking, SSC"
5ed9f32b44008f129d19c933,NCERT EVS Grade 4,active,NCERT4S01,5ed9f32b44008f129d19c933/NCERT4S01/4/Environmental Studies
5eda313944008f129d19f0e8,Science in Life Today,active,EL05S067,5eda313944008f129d19f0e8/EL05S067/5/Science
5ee2445f708b969c39987c4e,General Studies Paper II (CSAT),active,PPGN103,"5ee2445f708b969c39987c4e/PPGN103/PrePG/English, Quantitative Aptitude, Reasoning"
5eea1c76f547650828b51c76,Indian Polity  For UPSC And State Civil Services Examinations,active,PPGN101,5eea1c76f547650828b51c76/PPGN101/PrePG/General Studies Paper 1
5eea24f7f547650828b5607e,Daily Practice Problems (DPP) Optics and Modern Physics JEE Main and Advanced,active,PUGJEE5449,5eea24f7f547650828b5607e/PUGJEE5449/11/Physics
5eea2e90f547650828b59118,Wow Science Grade 7,active,EL07S017,5eea2e90f547650828b59118/EL07S017/7/Science
5eea4e63f547650828b6227d,Living Science 4,active,EL04S037,5eea4e63f547650828b6227d/EL04S037/4/Science
5eea515bf547650828b631c3,Daily Practice Problems (DPP) Magnetism and Electromagnetic Induction JEE Main and Advanced,active,PUGJEE5447,5eea515bf547650828b631c3/PUGJEE5447/11/Physics
5efb914227278334e9e61dd9,SCIENCE SUCCESS,active,EL03S043,5efb914227278334e9e61dd9/EL03S043/3/Science
