_id,name,status,content.book_code,book_id
5efb9c9727278334e9e633fc,Science for Ninth Class Part 1 Physics,active,EL09P016,5efb9c9727278334e9e633fc/EL09P016/9/Physics
5efc498a27278334e9e6bbfa,Awareness Science (book 3),active,EL03S035,5efc498a27278334e9e6bbfa/EL03S035/3/Science
5f04315027278334e9ee2d09,Super Simplified Science Chemistry,active,EL09C103,5f04315027278334e9ee2d09/EL09C103/9/Chemistry
5f0482a027278334e9eeec08,Science Today Class 5,active,EL05S032,5f0482a027278334e9eeec08/EL05S032/5/Science
5f05700c27278334e9efa582,NCERT Exemplar Biology - Class 12,active,NC12B005,5f05700c27278334e9efa582/NC12B005/12/Biology
5f05d2969a10ea4cb3b8725a,Daily Practice Problems (DPP) Calculus JEE Main and Advanced,active,PUGJEE5440,5f05d2969a10ea4cb3b8725a/PUGJEE5440/PreUG/Mathematics
5f05ec4a9a10ea4cb3b8ce1e,Living Science Physics,active,EL09P003,5f05ec4a9a10ea4cb3b8ce1e/EL09P003/9/Physics
5f05f5be9a10ea4cb3b8df72,Science Booster Grade 3,active,EL03S032,5f05f5be9a10ea4cb3b8df72/EL03S032/3/Science
5f082c719a10ea4cb3bbd46a,Learning Edge Science And Technology,active,EL07S045,5f082c719a10ea4cb3bbd46a/EL07S045/7/Science
5f0ef9b37f10acd646195561,Resonance Plant Physiology - I,active,PUGNEET296,5f0ef9b37f10acd646195561/PUGNEET296/Pre UG/BIOLOGY
5f12a7257f10acd6461e14a8,Science Textbook for Class 6,active,RJ06S101,5f12a7257f10acd6461e14a8/RJ06S101/6/Science
5f16fe60410039bcbfd97c49,Resonance Rectilinear Motion,draft,PUGJEE294,5f16fe60410039bcbfd97c49/PUGJEE294/PreUG/Physics
5f1918a2e61885046e5fae6c,Resonance Fundamentals of Mathematics,active,PUGJEE298,5f1918a2e61885046e5fae6c/PUGJEE298/PreUG/Mathematics
5f22a9e3df29eca07a235f8e,Drill Lessons in Mental Arithmetic Book 3,active,EL03M099,5f22a9e3df29eca07a235f8e/EL03M099/3/Mathematics
5f2407e3df29eca07a25f3b2,Science in everyday life,active,EL05S011,5f2407e3df29eca07a25f3b2/EL05S011/5/Science
5f240a20df29eca07a2602c6,General Science Standard Six,active,MH06S001,5f240a20df29eca07a2602c6/MH06S001/6/General Science
5f29a0ad7cf738fff0bab6e6,Teaching Aptitude & Teaching Attitude,active,PPGTET355,5f29a0ad7cf738fff0bab6e6/PPGTET355/PrePG/TEACHING APTITUDE & TEACHING ATTITUDE
5f50aae1429ee9ee0e8c0fc9,Xam Idea Biology,draft,EL12B042,5f50aae1429ee9ee0e8c0fc9/EL12B042/12/Biology
5ebccac888089454bc1cd47c,EDUWISERS CBSE PHYSICS -10,active,EL10P011,5ebccac888089454bc1cd47c/EL10P011/10/Physics
5ebcf47d88089454bc1cffc7,Expanded Universal Science,active,EL05S042,5ebcf47d88089454bc1cffc7/EL05S042/5/Science
5ebd084788089454bc1d1572,MathSpark,active,EL02M042,5ebd084788089454bc1d1572/EL02M042/2/Mathematics
5ebd127388089454bc1d2157,Science Today,active,EL03S062,5ebd127388089454bc1d2157/EL03S062/3/Science
5ebeda4fc2ecd101168144dc,New Integrated Primary Science Grade 1,active,EL01S008,5ebeda4fc2ecd101168144dc/EL01S008/1/Science
5ed94d2044008f129d198427,Banking Awareness : A Treasure Of Banking Industry Knowledge With Concise Study Material & 1000+ Mcqs Grade PrePG,active,PPGEGA006,5ed94d2044008f129d198427/PPGEGA006/PrePG/General Knowledge%2FGeneral Awareness
5ed9cedb44008f129d199792,Science integrated with environmental education,active,EL04S043,5ed9cedb44008f129d199792/EL04S043/4/Science
5edb3e6344008f129d1a1c0e,Daily Practice Problems (DPP) Mechanics 1 JEE Main and Advanced,active,PUGJEE5444,5edb3e6344008f129d1a1c0e/PUGJEE5444/11/Physics
5ef595ff4e12dae87a5ac9aa,Daily Practice Problems (DPP) Electrostatics and Current Electricity JEE Main and Advanvced,active,PUGJEE5446,5ef595ff4e12dae87a5ac9aa/PUGJEE5446/PreUG/Physics
5ef5f04e4e12dae87a5b8480,REVISED LONGMAN ACTIVE SCIENCE,active,EL03S001,5ef5f04e4e12dae87a5b8480/EL03S001/3/Science
5ef748884e12dae87a5c4e0a,SSC MATRIC LEVEL (GROUP 'C') Multi-Tasking (Non Technical) Staff Exam Mock Test,active,PPGSSC013,"5ef748884e12dae87a5c4e0a/PPGSSC013/PrePG/English, Quantitative Aptitude, Reasoning, General Knowledge%2F General Awareness"
5efc45c927278334e9e6b244,Active Science for You Book 5,active,EL05S031,5efc45c927278334e9e6b244/EL05S031/5/Science
5efc71e927278334e9e6f44f,Science for Class 3,active,EL03S060,5efc71e927278334e9e6f44f/EL03S060/3/Science
5efd6f0527278334e9e79ebc,Modern's abc+ of Science biology,active,EL09B035,5efd6f0527278334e9e79ebc/EL09B035/9/Biology
5eff511027278334e9e9ec79,Uttar Pradesh General Knowledge,active,PPGSSC049,5eff511027278334e9e9ec79/PPGSSC049/PrePG/General Knowledge%2F General Awareness
5f032a3e27278334e9ed2638,Start Up Science Grade 5,active,EL05S001,5f032a3e27278334e9ed2638/EL05S001/5/Science
5f05b67f27278334e9f046a9,Know Your State : Haryana,active,PPGSSC060,5f05b67f27278334e9f046a9/PPGSSC060/PrePG/General Knowledge%2FGeneral Awareness
5f05d3849a10ea4cb3b87478,New Challenge Mathematics,active,EL06M038,5f05d3849a10ea4cb3b87478/EL06M038/6/Mathematics
5f05e59f9a10ea4cb3b8bbb9,HEADSTART SCIENCE,active,EL05S020,5f05e59f9a10ea4cb3b8bbb9/EL05S020/5/Science
5f0720e09a10ea4cb3ba9ea8,I Care 3,active,EL03S128,5f0720e09a10ea4cb3ba9ea8/EL03S128/3/Science
5f0d6a8c9ba1ee9b28ce3884,NCERT Mathematics (Vol 2),active,NCERT12M02,5f0d6a8c9ba1ee9b28ce3884/NCERT12M02/12/Mathematics
5f0eda0f7f10acd64618b4a7,Super Simplified Science Physics,active,EL09P005,5f0eda0f7f10acd64618b4a7/EL09P005/9/Physics
5f11cced7f10acd6461d6174,Connect with Science,active,EL01S047,5f11cced7f10acd6461d6174/EL01S047/1/Science
5f12a3397f10acd6461dfa8c,Blue Planet and Green Us,active,EL03S014,5f12a3397f10acd6461dfa8c/EL03S014/3/Science
5f1586ab7f10acd64620f2eb,Living Science Chemistry,active,EL09C016,5f1586ab7f10acd64620f2eb/EL09C016/9/Chemistry
5f17eee7e61885046e5e643c,Know Your State : Madhya Pradesh,active,PPGSSC063,5f17eee7e61885046e5e643c/PPGSSC063/PrePG/General Knowledge%2FGeneral Awareness
5f1a6b8bf917ee53a5eedf84,Lab Manual in Mathematics,active,EL10M195,5f1a6b8bf917ee53a5eedf84/EL10M195/10/Mathematics
5f1bd29af917ee53a5f047d7,DRDO Multi Tasking Staff Cadre,active,PPGCDS170,"5f1bd29af917ee53a5f047d7/PPGCDS170/PrePG/Quantitative Aptitude, Reasoning, General Knowledge%2FGeneral Awareness"
5f1ff0605093e82766a027cc,Study Guide For RPF/RPSF Constable,active,PPGESG002,"5f1ff0605093e82766a027cc/PPGESG002/PrePG/Quantitative Aptitude, Reasoning, General Knowledge%2FGeneral Awareness"
5f22aaa8df29eca07a23623f,The Joy of Science Today Book 4,active,EL04S033,5f22aaa8df29eca07a23623f/EL04S033/4/Science
5f240672df29eca07a25ec97,Together With New Mathematics,active,EL01M025,5f240672df29eca07a25ec97/EL01M025/1/Mathematics
5f241772df29eca07a262c5a,Grade 2 Environment Science,active,EL02S016,5f241772df29eca07a262c5a/EL02S016/2/Environmental Studies
5f465c2b1130f8fbbfe0101a,New Science Ahead 8,active,EL08S035,5f465c2b1130f8fbbfe0101a/EL08S035/8/Science
5f490aeaa6569441ec23bccf,Golden Mathematics,active,EL11M022,5f490aeaa6569441ec23bccf/EL11M022/11/Mathematics
5f57226fcdb9fe55ae666a56,Environmental Science Volume 2 Term 2 Standard Two,active,TN02S002,5f57226fcdb9fe55ae666a56/TN02S002/2/Science
5f5785a43298ebdadbc2fd0b,Core Science Physics.,active,EL09P015,5f5785a43298ebdadbc2fd0b/EL09P015/9/Physics
5f5a0f21ab793687ab73a4b0,Mathematics For Joint Entrance Examination JEE (Advanced): Calculus,active,PUGJEE5014,5f5a0f21ab793687ab73a4b0/PUGJEE5014/Pre UG/Mathematics
5e6f65ac2978bb02f8c930be,NCERT Mathematics,active,NCERT10M01,5e6f65ac2978bb02f8c930be/NCERT10M01/10/Mathematics
5e6f65ac2978bb02f8c930cb,Core Science Biology,active,EL10B032,5e6f65ac2978bb02f8c930cb/EL10B032/10/Biology
5ebcfb8388089454bc1d072e,Headstart Science 2,active,EL02S050,5ebcfb8388089454bc1d072e/EL02S050/2/Science
5ebd67d2c2ecd101167f6e22,NCERT Mathematics Grade 8,active,NC08M001,5ebd67d2c2ecd101167f6e22/NC08M001/8/Mathematics
5ed9514144008f129d199105,New Trends In Science,active,EL06S058,5ed9514144008f129d199105/EL06S058/6/Science
5eda4d7244008f129d1a0456,NCERT Biology,active,NCERT12B01,5eda4d7244008f129d1a0456/NCERT12B01/12/Biology
5eda503f44008f129d1a09c0,Mastering Science Grade 6,active,EL06S067,5eda503f44008f129d1a09c0/EL06S067/6/Science
5edf40d33dc2504431c9ccc0,Junior Science Grade 4,active,EL04S045,5edf40d33dc2504431c9ccc0/EL04S045/4/Science
5edf8d7b3dc2504431c9d9a1,Banking Awareness Learn Revise & Practice,active,PPGEGA002,5edf8d7b3dc2504431c9d9a1/PPGEGA002/PrePG/General Knowledge%2F General Awareness
5eeb154e9764e032c4fca562,Learning Elementary Science Grade 6,active,EL06S020,5eeb154e9764e032c4fca562/EL06S020/6/Science
5ef837d44e12dae87a5cb0b1,Updated edition Oxford New Science in Everyday life,active,EL03S019,5ef837d44e12dae87a5cb0b1/EL03S019/3/Science
5f0423de27278334e9ee0514,Concise Chemistry Part 2,active,EL10C022,5f0423de27278334e9ee0514/EL10C022/10/Chemistry
5f042e9427278334e9ee24ef,Awareness SCIENCE BOOK 5,active,EL05S055,5f042e9427278334e9ee24ef/EL05S055/5/Science
5f04329b27278334e9ee31ed,Daily Practice Problems (DPP) Waves and Thermodynamics JEE Main and Advanced,active,PUGJEE5448,5f04329b27278334e9ee31ed/PUGJEE5448/PreUG/Physics
5f0475ee27278334e9eec78c,Core Science Biology Grade 9,active,EL09B113,5f0475ee27278334e9eec78c/EL09B113/9/Biology
5f059adf27278334e9effbbb,Targeting Mathematics Book 2,active,EL02M029,5f059adf27278334e9effbbb/EL02M029/2/Mathematics
5f05d1af9a10ea4cb3b86be3,NCERT Chemistry (Vol 1),active,NCERT12C01,5f05d1af9a10ea4cb3b86be3/NCERT12C01/12/Chemistry
