_id,name,status,content.book_code,book_id
5efc43d227278334e9e6a9a9,Xam Idea - Class 10 Science,active,EL10S119,5efc43d227278334e9e6a9a9/EL10S119/10/Science
5efd89ea27278334e9e7d362,Environmental Studies,active,EL03S022,5efd89ea27278334e9e7d362/EL03S022/3/Environmental Studies
5f04290227278334e9ee1856,NCERT Practice Workbook Mathematics,active,EL01M065,5f04290227278334e9ee1856/EL01M065/1/Mathematics
5f047bf427278334e9eedb49,NCERT Exemplar Mathematics - Class 6,active,NC06M005,5f047bf427278334e9eedb49/NC06M005/6/Mathematics
5f05a6dc27278334e9f00fbf,Stride Ahead With Science,active,EL03S025,5f05a6dc27278334e9f00fbf/EL03S025/3/Science
5f05b86427278334e9f04989,An Introduction to Bihar General Knowledge,active,PPGSSC056,5f05b86427278334e9f04989/PPGSSC056/PrePG/General Knowledge%2FGeneral Awareness
5f0717aa9a10ea4cb3ba7d5b,SSC CHSL / LDC Tier 1 Online Exam 2019 LDC/DEO/PSA,active,PUGSSC001,"5f0717aa9a10ea4cb3ba7d5b/PUGSSC001/PrePG/English, Quantitative Aptitude, Reasoning, General Knowledge%2F General Awareness"
5f130ea97f10acd6461ecdaf,Biology Class 12,active,RJ12B103,5f130ea97f10acd6461ecdaf/RJ12B103/12/Biology
5f170a3de61885046e5d895c,"SBI Clerical Cadre Junior Associates, Preliminary Examination 2019",active,PPGESG009,"5f170a3de61885046e5d895c/PPGESG009/PrePG/Quantitative Aptitude, Reasoning, General Knowledge%2FGeneral Awareness"
5f22723ddf29eca07a230f23,Science for Class 8,active,EL08S070,5f22723ddf29eca07a230f23/EL08S070/8/Science
5f0d6be09ba1ee9b28ce3d47,Science and Technology Standard Ten Part - 2,active,MH10S112,5f0d6be09ba1ee9b28ce3d47/MH10S112/10/Science
5f1009c37f10acd6461b5593,Science Voyage 2,active,EL02S038,5f1009c37f10acd6461b5593/EL02S038/2/Science
5f10aa6c7f10acd6461c4958,Shortcut in Quantitative Aptitude for Competition,active,PPGN255,5f10aa6c7f10acd6461c4958/PPGN255/PrePG/Quantitative Aptitude
5f1264037f10acd6461dafb5,How We Came To Be Environmental Studies Part II,active,MH05S001,5f1264037f10acd6461dafb5/MH05S001/5/Science
5f228b31df29eca07a2337c1,Wow Science (ASIN: B07N9322KS),active,EL03S036,5f228b31df29eca07a2337c1/EL03S036/3/Science
5f23f94ddf29eca07a25d0f1,Interactive Science Grade 7,active,EL07S022,5f23f94ddf29eca07a25d0f1/EL07S022/7/Science
5f0c586e9ba1ee9b28cc12da,Millennium's Science 6,active,EL06S004,5f0c586e9ba1ee9b28cc12da/EL06S004/6/Science
5f0c5ff29ba1ee9b28cc3505,Daily Practice Problems (DPP) Mechanics 2 JEE Main and Advanced,active,PUGJEE5445,5f0c5ff29ba1ee9b28cc3505/PUGJEE5445/PreUG/Physics
5f0c86829ba1ee9b28ccb725,Daily Practice Problems (DPP) Mechanics 2 NEET,active,PUGNEET5192,5f0c86829ba1ee9b28ccb725/PUGNEET5192/PreUG/Physics
5f0ef8b37f10acd646194aef,Learning Science Integrated With Environmental Education,active,EL06S042,5f0ef8b37f10acd646194aef/EL06S042/6/Science
5f10a9807f10acd6461c42f7,QUANTITATIVE APTITUDE AND REASONING,active,PPGEE004,"5f10a9807f10acd6461c42f7/PPGEE004/PrePG/Quantitative Aptitude, Reasoning"
