_id,name,status,content.book_code,book_id
5e6f65ac2978bb02f8c930c2,NCERT Science,active,NCERT052,5e6f65ac2978bb02f8c930c2/NCERT052/10/Science
5ebd6faac2ecd101167f74ba,NCERT Mathematics Grade 5,active,NCERT5M01,5ebd6faac2ecd101167f74ba/NCERT5M01/5/Mathematics
5ed91ffa44008f129d195c6d,Simple Science 2,active,EL02S039,5ed91ffa44008f129d195c6d/EL02S039/2/Science
5ed9288544008f129d195d7c,Science Magic,active,EL01S021,5ed9288544008f129d195d7c/EL01S021/1/Science
5ed9e2f144008f129d19bf44,Railway Recruitment Board Junior Engineer (CBT Based),active,PPGRRB018,"5ed9e2f144008f129d19bf44/PPGRRB018/PrePG/English, Quantitative Aptitude, Reasoning, General Knowledge%2FGeneral Awareness"
5ee249d2708b969c3998910e,Banking & Financial Awareness,active,PPGEGA004,5ee249d2708b969c3998910e/PPGEGA004/PrePG/General Knowledge%2F General Awareness
5eea20b5f547650828b53321,Railway Recruitment Board Computer Based Test,active,PPGN030,"5eea20b5f547650828b53321/PPGN030/PrePG/English, Quantitative Aptitude, English, Computer Knowledge"
5eea4668f547650828b5f1f2,Science Biology 10 Part 3,active,EL10B006,5eea4668f547650828b5f1f2/EL10B006/10/Biology
5efb8fc227278334e9e61c13,Nine Hats Mathematics Integrated Coursebook 1,active,EL01M034,5efb8fc227278334e9e61c13/EL01M034/1/Mathematics
5f01cae327278334e9ebe7ec,Basic Science,active,EL07S003,5f01cae327278334e9ebe7ec/EL07S003/7/Science
5f02da5827278334e9eca25f,Daily Practice Problems (DPP) Unit 7: Genetics and Evolution Unit 8: Biology in Human Welfare,active,PUGNEET5198,5f02da5827278334e9eca25f/PUGNEET5198/PreUG/Biology
5f02e2ce27278334e9ecad73,Maths Made Merry Workbook Grade 2,active,EL02M004,5f02e2ce27278334e9ecad73/EL02M004/2/Mathematics
5f031e5327278334e9ed135f,Active Science 4,active,EL04S059,5f031e5327278334e9ed135f/EL04S059/4/Science
5f03ff6427278334e9edc3e0,Everyday Science,active,EL05S062,5f03ff6427278334e9edc3e0/EL05S062/5/Science
5f04788227278334e9eed372,Excel Science,active,EL01S001,5f04788227278334e9eed372/EL01S001/1/Science
5e6f65ac2978bb02f8c930c5,Science for Tenth Class Part - 3 Biology,active,EL10B013,5e6f65ac2978bb02f8c930c5/EL10B013/10/Biology
5e9cbae1b514c57476cc1c94,Science Part - II Chemistry,active,EL10C011,5e9cbae1b514c57476cc1c94/EL10C011/10/Chemistry
5ebd0b4588089454bc1d190b,Discover Science,active,EL01S025,5ebd0b4588089454bc1d190b/EL01S025/1/Science
5ebd6650c2ecd101167f6cf3,Maths Lab Activities Grade 4,active,EL04M062,5ebd6650c2ecd101167f6cf3/EL04M062/4/Mathematics
5ebd6ca5c2ecd101167f7240,NCERT Science Grade 8,active,EL08S010,5ebd6ca5c2ecd101167f7240/EL08S010/8/Science
5ebd6e62c2ecd101167f73b5,NCERT Science Grade 6,active,NCERT06S01,5ebd6e62c2ecd101167f73b5/NCERT06S01/6/Science
5eea1ef0f547650828b5272e,Assam Police Constable Recruitment Exam 2018,active,PUGPOL019,"5eea1ef0f547650828b5272e/PUGPOL019/PrePG/English, Quantitative Aptitude, Reasoning"
5eea2d29f547650828b58982,START UP SCIENCE Grade 2,active,EL02S055,5eea2d29f547650828b58982/EL02S055/2/Science
5f056cee27278334e9ef93c3,Active Science for You Book 4,active,EL04S019,5f056cee27278334e9ef93c3/EL04S019/4/Science
5f05f6ac9a10ea4cb3b8e386,Arrow Science World,active,EL03S005,5f05f6ac9a10ea4cb3b8e386/EL03S005/3/Science
5f05f8d39a10ea4cb3b90292,Mathematics Grade 8,active,EL08M087,5f05f8d39a10ea4cb3b90292/EL08M087/8/Mathematics
5f0712a89a10ea4cb3ba65bb,A Fresh Approach to Reasoning Test,active,PPGER002,5f0712a89a10ea4cb3ba65bb/PPGER002/PrePG/Reasoning
5f07f2659a10ea4cb3bb2517,Know Your State : ODISHA,active,PPGSSC051,5f07f2659a10ea4cb3bb2517/PPGSSC051/PrePG/General Knowledge%2FGeneral Awareness
5f0c59df9ba1ee9b28cc1e2b,Start With Science Book 4,active,EL04S016,5f0c59df9ba1ee9b28cc1e2b/EL04S016/4/Science
5f0da84d9ba1ee9b28ced920,Reasoning Ability Exam Goal Post for Banking Exams,active,IBPS036,5f0da84d9ba1ee9b28ced920/IBPS036/PrePG/Reasoning
